Rango,ASN,Organización,Descripción,País,Rango padre
61.110.72.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.121.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.122.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.123.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.124.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.125.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.126.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.127.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.111.112.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.112.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.113.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.114.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.116.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.118.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.125.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.126.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.127.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.128.0/18,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.138.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.140.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.144.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.147.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.150.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.152.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.160.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.165.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.240.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.240.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.241.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.242.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.254.0/24,4670,HYUNDAI-KR,Shinbiro,KR,64.57.176.0/20
61.111.254.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.255.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.248.176.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.176.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.180.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.181.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.183.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.184.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.186.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.187.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.188.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.191.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.249.96.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.96.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.104.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.118.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.128.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.132.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.134.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.135.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.136.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.137.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.138.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.139.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.140.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.141.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.142.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.143.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.144.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.145.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.146.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.147.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.149.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.155.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
